Time	Dev1/ai0	Dev1/ai1	
3.280840e+001	1.770647	1.952988	
3.290840e+001	1.770153	1.953646	
3.300840e+001	1.769824	1.953810	
3.310840e+001	1.769989	1.954140	
3.320840e+001	1.770153	1.954633	
3.330840e+001	1.772293	1.954469	
3.340840e+001	1.771799	1.954469	
3.350840e+001	1.772622	1.953975	
3.360840e+001	1.773280	1.954140	
3.370840e+001	1.773774	1.954140	
3.380840e+001	1.774432	1.953810	
3.390840e+001	1.774596	1.953975	
3.400840e+001	1.773938	1.954962	
3.410840e+001	1.774267	1.955621	
3.420840e+001	1.774267	1.956279	
3.430840e+001	1.773774	1.956608	
3.440840e+001	1.773609	1.956937	
3.450840e+001	1.774267	1.958254	
3.460840e+001	1.773609	1.957760	
3.470840e+001	1.773774	1.958089	
3.480840e+001	1.774267	1.957760	
3.490840e+001	1.774926	1.957431	
3.500840e+001	1.775419	1.957760	
3.510840e+001	1.776242	1.957431	
3.520840e+001	1.776736	1.956937	
3.530840e+001	1.777394	1.956608	
3.540840e+001	1.777888	1.956279	
3.550840e+001	1.778382	1.955621	
3.560840e+001	1.778875	1.955621	
3.570840e+001	1.779863	1.956279	
3.580840e+001	1.779863	1.956279	
3.590840e+001	1.780192	1.956279	
3.600840e+001	1.779863	1.956773	
3.610840e+001	1.779040	1.955127	
3.620840e+001	1.777065	1.957760	
3.630840e+001	1.778382	1.957760	
3.640840e+001	1.778382	1.957760	
3.650840e+001	1.777888	1.958089	
3.660840e+001	1.777394	1.957925	
3.670840e+001	1.776736	1.957431	
3.680840e+001	1.776407	1.956937	
3.690840e+001	1.776242	1.956608	
3.700840e+001	1.776078	1.956937	
3.710840e+001	1.775748	1.956773	
3.720840e+001	1.776242	1.957266	
3.730840e+001	1.776242	1.957431	
3.740840e+001	1.777888	1.957596	
3.750840e+001	1.777065	1.957266	
3.760840e+001	1.777394	1.956937	
3.770840e+001	1.777394	1.956937	
3.780840e+001	1.777065	1.956937	
3.790840e+001	1.776900	1.956279	
3.800840e+001	1.777559	1.956114	
3.810840e+001	1.776242	1.956608	
3.820840e+001	1.776078	1.956279	
3.830840e+001	1.775748	1.956444	
3.840840e+001	1.775255	1.956444	
3.850840e+001	1.774761	1.956444	
3.860840e+001	1.774761	1.955621	
3.870840e+001	1.773774	1.955456	
3.880840e+001	1.774267	1.954962	
3.890840e+001	1.774432	1.954633	
3.900840e+001	1.774926	1.954304	
3.910840e+001	1.774596	1.954140	
3.920840e+001	1.775913	1.955456	
3.930840e+001	1.775419	1.954798	
3.940840e+001	1.775748	1.954304	
3.950840e+001	1.775584	1.954304	
3.960840e+001	1.775090	1.953646	
3.970840e+001	1.773774	1.953646	
3.980840e+001	1.774103	1.954304	
3.990840e+001	1.773280	1.953317	
4.000840e+001	1.772622	1.952823	
4.010840e+001	1.772128	1.952659	
4.020840e+001	1.771634	1.952000	
4.030840e+001	1.773115	1.952659	
4.040840e+001	1.772293	1.953152	
4.050840e+001	1.772457	1.952329	
4.060840e+001	1.772622	1.952329	
4.070840e+001	1.772951	1.952329	
4.080840e+001	1.772786	1.951836	
4.090840e+001	1.774103	1.952000	
4.100840e+001	1.772951	1.951836	
4.110840e+001	1.773280	1.951177	
