Time	Dev1/ai0	Dev1/ai1	
3.568820e+001	1.772457	1.955950	
3.578820e+001	1.772457	1.956114	
3.588820e+001	1.772128	1.956608	
3.598820e+001	1.771634	1.956444	
3.608820e+001	1.770647	1.955950	
3.618820e+001	1.771470	1.955456	
3.628820e+001	1.771470	1.954798	
3.638820e+001	1.770976	1.954469	
3.648820e+001	1.770811	1.955621	
3.658820e+001	1.770811	1.955127	
3.668820e+001	1.772293	1.954633	
3.678820e+001	1.771799	1.954469	
3.688820e+001	1.772128	1.954140	
3.698820e+001	1.772293	1.954140	
3.708820e+001	1.772457	1.954633	
3.718820e+001	1.772293	1.954633	
3.728820e+001	1.773115	1.954798	
3.738820e+001	1.772457	1.954469	
3.748820e+001	1.771963	1.953152	
3.758820e+001	1.771305	1.954469	
3.768820e+001	1.770976	1.953646	
3.778820e+001	1.770318	1.953975	
3.788820e+001	1.771305	1.954633	
3.798820e+001	1.770811	1.954469	
3.808820e+001	1.771634	1.954140	
3.818820e+001	1.772128	1.954140	
3.828820e+001	1.772128	1.953810	
3.838820e+001	1.771963	1.954140	
3.848820e+001	1.772622	1.952329	
3.858820e+001	1.772293	1.954140	
3.868820e+001	1.771634	1.953646	
3.878820e+001	1.771470	1.953646	
3.888820e+001	1.771141	1.953810	
3.898820e+001	1.768343	1.953152	
3.908820e+001	1.770318	1.953481	
3.918820e+001	1.770482	1.953317	
3.928820e+001	1.771305	1.953481	
3.938820e+001	1.771634	1.953646	
3.948820e+001	1.770647	1.953975	
3.958820e+001	1.773938	1.953481	
3.968820e+001	1.773115	1.953810	
3.978820e+001	1.773609	1.953317	
3.988820e+001	1.774267	1.952988	
3.998820e+001	1.774761	1.952659	
4.008820e+001	1.774926	1.953152	
4.018820e+001	1.776407	1.953317	
4.028820e+001	1.775090	1.953152	
4.038820e+001	1.775419	1.952659	
4.048820e+001	1.775255	1.952823	
4.058820e+001	1.775584	1.952659	
4.068820e+001	1.775255	1.952823	
4.078820e+001	1.775748	1.954304	
4.088820e+001	1.776242	1.953975	
4.098820e+001	1.776571	1.953646	
4.108820e+001	1.777559	1.953975	
4.118820e+001	1.778217	1.954633	
4.128820e+001	1.778382	1.954469	
4.138820e+001	1.779534	1.955785	
4.148820e+001	1.779698	1.955456	
4.158820e+001	1.779698	1.955950	
4.168820e+001	1.780521	1.955292	
4.178820e+001	1.780356	1.956444	
4.188820e+001	1.779863	1.956114	
4.198820e+001	1.780192	1.956608	
4.208820e+001	1.779369	1.957102	
4.218820e+001	1.779369	1.957102	
4.228820e+001	1.778875	1.957102	
4.238820e+001	1.778382	1.956444	
4.248820e+001	1.779369	1.956114	
4.258820e+001	1.777888	1.956279	
4.268820e+001	1.777230	1.955785	
4.278820e+001	1.778546	1.955456	
4.288820e+001	1.778546	1.955785	
4.298820e+001	1.778546	1.954633	
4.308820e+001	1.778875	1.954304	
4.318820e+001	1.777723	1.954962	
4.328820e+001	1.777559	1.954469	
4.338820e+001	1.776900	1.954140	
4.348820e+001	1.776242	1.953975	
