Time	Dev1/ai0	Dev1/ai1	
3.269580e+001	1.772622	1.952000	
3.279580e+001	1.771799	1.952165	
3.289580e+001	1.771963	1.952823	
3.299580e+001	1.771470	1.952823	
3.309580e+001	1.771305	1.953317	
3.319580e+001	1.770976	1.954140	
3.329580e+001	1.771305	1.954633	
3.339580e+001	1.771305	1.954304	
3.349580e+001	1.771799	1.954798	
3.359580e+001	1.772622	1.954798	
3.369580e+001	1.772293	1.954633	
3.379580e+001	1.772951	1.954633	
3.389580e+001	1.772293	1.954140	
3.399580e+001	1.771963	1.954304	
3.409580e+001	1.771470	1.954469	
3.419580e+001	1.771305	1.954633	
3.429580e+001	1.770811	1.954798	
3.439580e+001	1.771305	1.954798	
3.449580e+001	1.769989	1.954962	
3.459580e+001	1.770153	1.955127	
3.469580e+001	1.770318	1.955621	
3.479580e+001	1.770153	1.953481	
3.489580e+001	1.770153	1.955950	
3.499580e+001	1.771634	1.955292	
3.509580e+001	1.771141	1.955127	
3.519580e+001	1.771963	1.955127	
3.529580e+001	1.772128	1.954798	
3.539580e+001	1.772293	1.954304	
3.549580e+001	1.771799	1.953810	
3.559580e+001	1.772128	1.953317	
3.569580e+001	1.772128	1.952988	
3.579580e+001	1.772293	1.952659	
3.589580e+001	1.772457	1.952988	
3.599580e+001	1.772951	1.952659	
3.609580e+001	1.774926	1.952329	
3.619580e+001	1.773938	1.952823	
3.629580e+001	1.774761	1.952988	
3.639580e+001	1.774926	1.953646	
3.649580e+001	1.774596	1.954469	
3.659580e+001	1.774432	1.954633	
3.669580e+001	1.775090	1.955127	
3.679580e+001	1.774267	1.955127	
3.689580e+001	1.774103	1.956608	
3.699580e+001	1.774432	1.956773	
3.709580e+001	1.774926	1.955950	
3.719580e+001	1.775419	1.955785	
3.729580e+001	1.776407	1.955785	
3.739580e+001	1.776407	1.955292	
3.749580e+001	1.776736	1.954798	
3.759580e+001	1.776571	1.954140	
3.769580e+001	1.775584	1.953646	
3.779580e+001	1.776571	1.952823	
3.789580e+001	1.775419	1.953810	
3.799580e+001	1.775255	1.952659	
3.809580e+001	1.775255	1.952659	
3.819580e+001	1.774596	1.952000	
3.829580e+001	1.774103	1.952494	
3.839580e+001	1.775584	1.952988	
3.849580e+001	1.775090	1.953152	
3.859580e+001	1.775584	1.952659	
3.869580e+001	1.775584	1.952659	
3.879580e+001	1.775584	1.952659	
3.889580e+001	1.775090	1.953646	
3.899580e+001	1.775090	1.954469	
3.909580e+001	1.774267	1.953317	
3.919580e+001	1.774267	1.953317	
3.929580e+001	1.773774	1.952823	
3.939580e+001	1.773445	1.952823	
3.949580e+001	1.770647	1.953317	
3.959580e+001	1.774103	1.953152	
3.969580e+001	1.774596	1.952494	
3.979580e+001	1.775090	1.952494	
3.989580e+001	1.774926	1.952000	
3.999580e+001	1.774103	1.952823	
4.009580e+001	1.774432	1.953317	
4.019580e+001	1.772951	1.952494	
4.029580e+001	1.772786	1.952165	
4.039580e+001	1.772128	1.952659	
4.049580e+001	1.771799	1.952659	
4.059580e+001	1.771305	1.952494	
4.069580e+001	1.771634	1.952165	
4.079580e+001	1.771305	1.951671	
4.089580e+001	1.771634	1.951342	
4.099580e+001	1.771305	1.949203	
4.109580e+001	1.770976	1.951671	
4.119580e+001	1.770482	1.951836	
4.129580e+001	1.770153	1.952329	
4.139580e+001	1.769824	1.952329	
4.149580e+001	1.769166	1.952823	
4.159580e+001	1.768837	1.952823	
4.169580e+001	1.769001	1.952823	
4.179580e+001	1.769001	1.952494	
4.189580e+001	1.768672	1.952494	
4.199580e+001	1.768837	1.952988	
4.209580e+001	1.769166	1.951836	
4.219580e+001	1.769166	1.952000	
4.229580e+001	1.769166	1.951507	
4.239580e+001	1.770153	1.951671	
4.249580e+001	1.769330	1.951836	
4.259580e+001	1.769166	1.951507	
4.269580e+001	1.768672	1.951507	
4.279580e+001	1.768507	1.951177	
4.289580e+001	1.767520	1.950684	
4.299580e+001	1.768343	1.950190	
4.309580e+001	1.767520	1.951671	
4.319580e+001	1.767849	1.951836	
4.329580e+001	1.768014	1.952329	
4.339580e+001	1.768343	1.952000	
4.349580e+001	1.769001	1.952494	
4.359580e+001	1.769001	1.952988	
4.369580e+001	1.769001	1.952988	
4.379580e+001	1.768837	1.953152	
4.389580e+001	1.768672	1.953481	
4.399580e+001	1.768507	1.954304	
4.409580e+001	1.769330	1.954304	
4.419580e+001	1.767191	1.953646	
4.429580e+001	1.768178	1.953646	
4.439580e+001	1.768507	1.954962	
4.449580e+001	1.769166	1.954304	
4.459580e+001	1.769659	1.954798	
4.469580e+001	1.770811	1.955621	
4.479580e+001	1.770811	1.954469	
4.489580e+001	1.771470	1.954469	
4.499580e+001	1.771634	1.953975	
4.509580e+001	1.771634	1.953810	
4.519580e+001	1.770976	1.953646	
4.529580e+001	1.769989	1.953317	
4.539580e+001	1.770811	1.952988	
4.549580e+001	1.770811	1.953481	
4.559580e+001	1.771305	1.953317	
4.569580e+001	1.771305	1.953481	
4.579580e+001	1.772622	1.953975	
4.589580e+001	1.771799	1.953646	
4.599580e+001	1.771634	1.953481	
4.609580e+001	1.771470	1.953152	
4.619580e+001	1.770976	1.952988	
4.629580e+001	1.770318	1.953481	
4.639580e+001	1.771305	1.952823	
4.649580e+001	1.769989	1.953317	
4.659580e+001	1.769659	1.951671	
4.669580e+001	1.769166	1.954140	
4.679580e+001	1.769330	1.953646	
4.689580e+001	1.769330	1.953481	
4.699580e+001	1.770482	1.953317	
4.709580e+001	1.770976	1.953317	
4.719580e+001	1.771305	1.953810	
4.729580e+001	1.771634	1.953810	
4.739580e+001	1.771634	1.954140	
4.749580e+001	1.772293	1.954469	
4.759580e+001	1.771963	1.954798	
4.769580e+001	1.771634	1.955456	
4.779580e+001	1.771470	1.954962	
4.789580e+001	1.771305	1.955292	
4.799580e+001	1.770976	1.955127	
4.809580e+001	1.771634	1.955292	
4.819580e+001	1.770811	1.955950	
4.829580e+001	1.771799	1.955950	
4.839580e+001	1.772128	1.956114	
4.849580e+001	1.772128	1.955785	
4.859580e+001	1.772457	1.955785	
4.869580e+001	1.773115	1.955621	
4.879580e+001	1.772622	1.955785	
4.889580e+001	1.772457	1.955292	
4.899580e+001	1.772128	1.955292	
4.909580e+001	1.771634	1.955785	
4.919580e+001	1.771799	1.955456	
4.929580e+001	1.771305	1.954962	
4.939580e+001	1.770976	1.954633	
4.949580e+001	1.770482	1.953975	
4.959580e+001	1.771799	1.953646	
4.969580e+001	1.772128	1.953975	
4.979580e+001	1.773609	1.954140	
4.989580e+001	1.772622	1.953975	
4.999580e+001	1.772457	1.953975	
5.009580e+001	1.771963	1.953975	
5.019580e+001	1.771963	1.954140	
5.029580e+001	1.771470	1.953810	
5.039580e+001	1.771963	1.953481	
5.049580e+001	1.771305	1.953810	
5.059580e+001	1.770647	1.953481	
5.069580e+001	1.770318	1.953975	
5.079580e+001	1.769989	1.954469	
5.089580e+001	1.769495	1.954304	
5.099580e+001	1.770811	1.953317	
5.109580e+001	1.770976	1.953975	
5.119580e+001	1.771470	1.953810	
5.129580e+001	1.772293	1.953975	
5.139580e+001	1.772457	1.953975	
5.149580e+001	1.772293	1.953646	
5.159580e+001	1.772951	1.953810	
5.169580e+001	1.772622	1.951177	
5.179580e+001	1.772786	1.953481	
5.189580e+001	1.772293	1.953317	
5.199580e+001	1.772457	1.953481	
5.209580e+001	1.773280	1.953152	
5.219580e+001	1.772622	1.953975	
5.229580e+001	1.773280	1.953317	
