Time	Dev1/ai0	Dev1/ai1	
4.384690e+001	1.769659	1.951013	
4.394690e+001	1.769659	1.949532	
4.404690e+001	1.769659	1.951342	
4.414690e+001	1.769824	1.951013	
4.424690e+001	1.770318	1.951342	
4.434690e+001	1.771305	1.952000	
4.444690e+001	1.771141	1.951836	
4.454690e+001	1.771799	1.951671	
4.464690e+001	1.771634	1.951342	
4.474690e+001	1.771799	1.951177	
4.484690e+001	1.767849	1.950684	
4.494690e+001	1.771305	1.951836	
4.504690e+001	1.770976	1.951342	
4.514690e+001	1.770647	1.951507	
4.524690e+001	1.770318	1.952494	
4.534690e+001	1.769824	1.952165	
4.544690e+001	1.770647	1.952165	
4.554690e+001	1.769989	1.952659	
4.564690e+001	1.770482	1.951671	
4.574690e+001	1.771470	1.951507	
4.584690e+001	1.771141	1.951177	
4.594690e+001	1.771963	1.950355	
4.604690e+001	1.773280	1.951671	
4.614690e+001	1.772622	1.951177	
4.624690e+001	1.772622	1.951177	
4.634690e+001	1.772293	1.951177	
4.644690e+001	1.771634	1.951671	
4.654690e+001	1.771141	1.952000	
4.664690e+001	1.771305	1.952329	
4.674690e+001	1.770482	1.951836	
4.684690e+001	1.770647	1.952329	
4.694690e+001	1.770976	1.952165	
4.704690e+001	1.771141	1.951671	
4.714690e+001	1.771799	1.952000	
4.724690e+001	1.771634	1.950848	
4.734690e+001	1.772128	1.951013	
4.744690e+001	1.772293	1.950848	
4.754690e+001	1.771963	1.951671	
4.764690e+001	1.771305	1.952165	
4.774690e+001	1.772293	1.952494	
4.784690e+001	1.770976	1.952823	
4.794690e+001	1.770811	1.953481	
4.804690e+001	1.769824	1.953481	
4.814690e+001	1.771305	1.952494	
4.824690e+001	1.771470	1.953646	
4.834690e+001	1.772293	1.952823	
4.844690e+001	1.772457	1.952988	
4.854690e+001	1.772293	1.953152	
4.864690e+001	1.772293	1.953810	
4.874690e+001	1.772128	1.954140	
4.884690e+001	1.768672	1.954469	
4.894690e+001	1.771141	1.954633	
4.904690e+001	1.770976	1.954633	
4.914690e+001	1.771799	1.954798	
4.924690e+001	1.771470	1.953975	
4.934690e+001	1.772128	1.954469	
4.944690e+001	1.773609	1.953810	
4.954690e+001	1.773115	1.954469	
4.964690e+001	1.773115	1.954962	
4.974690e+001	1.773280	1.955292	
4.984690e+001	1.773445	1.955292	
4.994690e+001	1.773115	1.955127	
5.004690e+001	1.773445	1.955292	
5.014690e+001	1.773115	1.955292	
5.024690e+001	1.773774	1.954962	
5.034690e+001	1.774267	1.956608	
5.044690e+001	1.774926	1.955950	
5.054690e+001	1.776407	1.956773	
5.064690e+001	1.775584	1.957266	
5.074690e+001	1.775584	1.958089	
5.084690e+001	1.775419	1.958583	
5.094690e+001	1.775584	1.958912	
5.104690e+001	1.775090	1.959406	
5.114690e+001	1.776078	1.958912	
5.124690e+001	1.775255	1.959406	
5.134690e+001	1.775090	1.958418	
5.144690e+001	1.775419	1.958254	
5.154690e+001	1.775419	1.958418	
5.164690e+001	1.776078	1.958254	
5.174690e+001	1.776900	1.957760	
5.184690e+001	1.777230	1.957431	
5.194690e+001	1.777394	1.957102	
5.204690e+001	1.777230	1.957102	
5.214690e+001	1.776736	1.956608	
5.224690e+001	1.777065	1.955785	
5.234690e+001	1.776242	1.954469	
5.244690e+001	1.775748	1.955621	
5.254690e+001	1.775913	1.954798	
5.264690e+001	1.775913	1.954798	
5.274690e+001	1.775913	1.954798	
5.284690e+001	1.777230	1.954304	
5.294690e+001	1.776736	1.953975	
5.304690e+001	1.777065	1.953646	
5.314690e+001	1.776736	1.953152	
5.324690e+001	1.776571	1.953152	
5.334690e+001	1.775913	1.952659	
5.344690e+001	1.776078	1.953975	
5.354690e+001	1.775419	1.952659	
5.364690e+001	1.775255	1.952329	
5.374690e+001	1.774761	1.952165	
5.384690e+001	1.774432	1.952329	
5.394690e+001	1.770976	1.952823	
5.404690e+001	1.775090	1.952988	
5.414690e+001	1.775584	1.952659	
5.424690e+001	1.775748	1.952659	
5.434690e+001	1.773774	1.952165	
5.444690e+001	1.774103	1.952659	
5.454690e+001	1.774926	1.952823	
5.464690e+001	1.773280	1.952000	
5.474690e+001	1.773280	1.951507	
5.484690e+001	1.772951	1.951013	
5.494690e+001	1.772622	1.951342	
5.504690e+001	1.772786	1.951177	
5.514690e+001	1.773280	1.950684	
5.524690e+001	1.773115	1.950025	
5.534690e+001	1.773115	1.949696	
5.544690e+001	1.772951	1.949038	
5.554690e+001	1.772457	1.949532	
5.564690e+001	1.770976	1.950025	
5.574690e+001	1.771305	1.949038	
5.584690e+001	1.770647	1.948380	
5.594690e+001	1.770482	1.947886	
5.604690e+001	1.770153	1.948215	
5.614690e+001	1.769495	1.948709	
5.624690e+001	1.770318	1.948709	
5.634690e+001	1.769001	1.948215	
5.644690e+001	1.769659	1.948051	
5.654690e+001	1.769989	1.947392	
5.664690e+001	1.769659	1.947228	
5.674690e+001	1.770482	1.947721	
5.684690e+001	1.771305	1.949038	
5.694690e+001	1.770153	1.948051	
5.704690e+001	1.769824	1.948051	
5.714690e+001	1.769659	1.947557	
5.724690e+001	1.769330	1.947063	
