Time	Dev1/ai0	Dev1/ai1	
3.244180e+001	1.771634	1.953810	
3.254180e+001	1.772128	1.953975	
3.264180e+001	1.772293	1.953810	
3.274180e+001	1.773609	1.953810	
3.284180e+001	1.773774	1.952988	
3.294180e+001	1.774267	1.953152	
3.304180e+001	1.775090	1.953317	
3.314180e+001	1.775255	1.953317	
3.324180e+001	1.775090	1.953481	
3.334180e+001	1.776078	1.952988	
3.344180e+001	1.775913	1.952329	
3.354180e+001	1.776242	1.952659	
3.364180e+001	1.776242	1.952494	
3.374180e+001	1.776242	1.953152	
3.384180e+001	1.775255	1.952659	
3.394180e+001	1.775913	1.952659	
3.404180e+001	1.775419	1.952165	
3.414180e+001	1.775748	1.952000	
3.424180e+001	1.775419	1.951507	
3.434180e+001	1.775584	1.951836	
3.444180e+001	1.775584	1.951342	
3.454180e+001	1.776407	1.952000	
3.464180e+001	1.775748	1.950355	
3.474180e+001	1.776242	1.952000	
3.484180e+001	1.776900	1.952329	
3.494180e+001	1.777065	1.952329	
3.504180e+001	1.775419	1.952988	
3.514180e+001	1.778382	1.953646	
3.524180e+001	1.778711	1.953481	
3.534180e+001	1.779204	1.953646	
3.544180e+001	1.779369	1.953646	
3.554180e+001	1.778875	1.953317	
3.564180e+001	1.779863	1.953646	
3.574180e+001	1.778217	1.953152	
3.584180e+001	1.777888	1.953810	
3.594180e+001	1.777394	1.953646	
3.604180e+001	1.777065	1.953646	
3.614180e+001	1.776571	1.953810	
3.624180e+001	1.777230	1.953975	
3.634180e+001	1.776736	1.953646	
3.644180e+001	1.777065	1.953481	
3.654180e+001	1.777723	1.953152	
3.664180e+001	1.777723	1.952823	
3.674180e+001	1.778546	1.953481	
3.684180e+001	1.778711	1.952000	
3.694180e+001	1.778052	1.954304	
3.704180e+001	1.778546	1.954633	
3.714180e+001	1.778546	1.955127	
3.724180e+001	1.778546	1.955950	
3.734180e+001	1.778382	1.956114	
3.744180e+001	1.778875	1.955950	
3.754180e+001	1.777723	1.955621	
3.764180e+001	1.777230	1.955292	
3.774180e+001	1.776736	1.954798	
3.784180e+001	1.776242	1.954633	
3.794180e+001	1.775419	1.952494	
3.804180e+001	1.775748	1.955292	
