Time	Dev1/ai0	Dev1/ai1	
4.153670e+001	1.772128	1.955127	
4.163670e+001	1.771141	1.956279	
4.173670e+001	1.770811	1.955621	
4.183670e+001	1.770318	1.954962	
4.193670e+001	1.769659	1.954469	
4.203670e+001	1.767685	1.953810	
4.213670e+001	1.769330	1.953975	
4.223670e+001	1.768343	1.954304	
4.233670e+001	1.768178	1.954140	
4.243670e+001	1.768014	1.954469	
4.253670e+001	1.767849	1.954469	
4.263670e+001	1.768178	1.954798	
4.273670e+001	1.769330	1.954469	
4.283670e+001	1.769989	1.954304	
4.293670e+001	1.770976	1.954140	
4.303670e+001	1.771634	1.954469	
4.313670e+001	1.772457	1.954140	
4.323670e+001	1.772457	1.953810	
4.333670e+001	1.773445	1.954304	
4.343670e+001	1.773609	1.953481	
4.353670e+001	1.774103	1.953481	
4.363670e+001	1.773938	1.953810	
4.373670e+001	1.773938	1.953646	
4.383670e+001	1.770153	1.954140	
4.393670e+001	1.773609	1.954633	
4.403670e+001	1.773445	1.954633	
4.413670e+001	1.773115	1.954304	
4.423670e+001	1.772951	1.954304	
4.433670e+001	1.772293	1.954140	
4.443670e+001	1.773445	1.954469	
4.453670e+001	1.772457	1.955456	
4.463670e+001	1.773115	1.955621	
4.473670e+001	1.773115	1.956608	
4.483670e+001	1.773609	1.956773	
4.493670e+001	1.773774	1.956608	
4.503670e+001	1.775090	1.956608	
4.513670e+001	1.774596	1.956444	
4.523670e+001	1.775090	1.955950	
4.533670e+001	1.775419	1.956114	
4.543670e+001	1.775255	1.955621	
4.553670e+001	1.775584	1.954962	
4.563670e+001	1.775913	1.955950	
4.573670e+001	1.774761	1.954798	
4.583670e+001	1.774267	1.954469	
4.593670e+001	1.774103	1.954140	
4.603670e+001	1.773609	1.954469	
4.613670e+001	1.772951	1.955292	
4.623670e+001	1.773280	1.955292	
4.633670e+001	1.772786	1.955456	
4.643670e+001	1.773115	1.955785	
4.653670e+001	1.773609	1.955621	
4.663670e+001	1.773938	1.954962	
4.673670e+001	1.774432	1.952494	
4.683670e+001	1.775255	1.955127	
4.693670e+001	1.775584	1.954962	
4.703670e+001	1.776242	1.955456	
4.713670e+001	1.776900	1.955785	
4.723670e+001	1.777065	1.956279	
4.733670e+001	1.777065	1.956773	
4.743670e+001	1.778052	1.956773	
4.753670e+001	1.777888	1.956114	
4.763670e+001	1.778052	1.955621	
4.773670e+001	1.777723	1.954633	
4.783670e+001	1.777230	1.954962	
4.793670e+001	1.777230	1.953975	
4.803670e+001	1.776242	1.953646	
4.813670e+001	1.776078	1.953152	
4.823670e+001	1.775584	1.953646	
4.833670e+001	1.775255	1.953810	
4.843670e+001	1.774761	1.953975	
4.853670e+001	1.775255	1.954798	
4.863670e+001	1.774267	1.955292	
4.873670e+001	1.775090	1.954962	
4.883670e+001	1.775255	1.953975	
4.893670e+001	1.775584	1.952000	
4.903670e+001	1.775748	1.953810	
4.913670e+001	1.776571	1.954140	
4.923670e+001	1.775584	1.954633	
4.933670e+001	1.775584	1.954304	
4.943670e+001	1.774926	1.953975	
4.953670e+001	1.774267	1.953810	
4.963670e+001	1.773609	1.953975	
4.973670e+001	1.773280	1.953975	
4.983670e+001	1.772786	1.953152	
4.993670e+001	1.772457	1.953317	
5.003670e+001	1.772293	1.953317	
5.013670e+001	1.772293	1.953810	
5.023670e+001	1.772622	1.954304	
5.033670e+001	1.773938	1.954798	
5.043670e+001	1.774596	1.954962	
5.053670e+001	1.775090	1.954798	
5.063670e+001	1.775748	1.954304	
5.073670e+001	1.776078	1.954304	
5.083670e+001	1.771634	1.954304	
5.093670e+001	1.776242	1.954633	
5.103670e+001	1.776242	1.952494	
5.113670e+001	1.776242	1.954962	
5.123670e+001	1.775584	1.955292	
5.133670e+001	1.775584	1.955785	
5.143670e+001	1.776736	1.955292	
5.153670e+001	1.775748	1.956114	
5.163670e+001	1.775913	1.955950	
5.173670e+001	1.776571	1.955950	
5.183670e+001	1.777230	1.956608	
5.193670e+001	1.777559	1.956608	
5.203670e+001	1.779369	1.956279	
5.213670e+001	1.779204	1.956608	
5.223670e+001	1.779863	1.956773	
5.233670e+001	1.780027	1.956937	
5.243670e+001	1.779863	1.957266	
5.253670e+001	1.779698	1.956937	
5.263670e+001	1.781508	1.957102	
5.273670e+001	1.780850	1.957102	
5.283670e+001	1.781508	1.956608	
5.293670e+001	1.782167	1.956608	
5.303670e+001	1.782989	1.956279	
5.313670e+001	1.782989	1.956773	
5.323670e+001	1.784306	1.954633	
5.333670e+001	1.783154	1.956937	
5.343670e+001	1.783319	1.956773	
5.353670e+001	1.783154	1.956608	
5.363670e+001	1.782660	1.956114	
5.373670e+001	1.782167	1.955950	
5.383670e+001	1.782167	1.956608	
5.393670e+001	1.781015	1.955785	
5.403670e+001	1.781015	1.955950	
5.413670e+001	1.780850	1.956114	
5.423670e+001	1.781015	1.956279	
5.433670e+001	1.780685	1.956773	
5.443670e+001	1.781179	1.956114	
5.453670e+001	1.781179	1.956114	
5.463670e+001	1.781344	1.955950	
5.473670e+001	1.781344	1.956114	
5.483670e+001	1.781179	1.956114	
5.493670e+001	1.777559	1.956444	
5.503670e+001	1.780356	1.956279	
5.513670e+001	1.780027	1.956608	
5.523670e+001	1.779698	1.956114	
5.533670e+001	1.779040	1.955785	
5.543670e+001	1.778546	1.955292	
5.553670e+001	1.779204	1.955456	
5.563670e+001	1.778546	1.955785	
5.573670e+001	1.779040	1.955621	
5.583670e+001	1.779040	1.955456	
5.593670e+001	1.779040	1.955456	
5.603670e+001	1.778711	1.955950	
5.613670e+001	1.778875	1.956114	
5.623670e+001	1.778052	1.955292	
5.633670e+001	1.777559	1.955950	
5.643670e+001	1.776736	1.955456	
5.653670e+001	1.776078	1.954633	
5.663670e+001	1.775255	1.952165	
5.673670e+001	1.775419	1.953975	
5.683670e+001	1.774267	1.953975	
5.693670e+001	1.773445	1.953810	
5.703670e+001	1.772951	1.953975	
5.713670e+001	1.772457	1.954140	
5.723670e+001	1.771963	1.953481	
5.733670e+001	1.772786	1.953317	
5.743670e+001	1.773115	1.953317	
5.753670e+001	1.773774	1.952659	
5.763670e+001	1.773609	1.952988	
5.773670e+001	1.773280	1.953646	
5.783670e+001	1.773774	1.952659	
5.793670e+001	1.773115	1.952329	
5.803670e+001	1.772786	1.952165	
5.813670e+001	1.772128	1.952165	
5.823670e+001	1.771305	1.952165	
5.833670e+001	1.770482	1.951671	
5.843670e+001	1.770976	1.951177	
5.853670e+001	1.769659	1.951507	
5.863670e+001	1.769330	1.951342	
5.873670e+001	1.769330	1.950848	
5.883670e+001	1.769001	1.951342	
5.893670e+001	1.768507	1.951342	
5.903670e+001	1.769330	1.951342	
5.913670e+001	1.769330	1.951836	
5.923670e+001	1.769659	1.951177	
5.933670e+001	1.770153	1.950684	
5.943670e+001	1.770647	1.950355	
5.953670e+001	1.771141	1.950025	
5.963670e+001	1.772786	1.950684	
5.973670e+001	1.772293	1.950848	
5.983670e+001	1.773609	1.950684	
5.993670e+001	1.773445	1.950684	
6.003670e+001	1.773609	1.952000	
6.013670e+001	1.773115	1.951507	
6.023670e+001	1.773774	1.951507	
6.033670e+001	1.772786	1.952000	
6.043670e+001	1.772786	1.952165	
6.053670e+001	1.772457	1.952000	
6.063670e+001	1.771963	1.952000	
6.073670e+001	1.771799	1.952329	
6.083670e+001	1.771963	1.951671	
6.093670e+001	1.770976	1.952329	
6.103670e+001	1.771634	1.951836	
6.113670e+001	1.772128	1.952659	
6.123670e+001	1.772293	1.952000	
6.133670e+001	1.772786	1.952165	
6.143670e+001	1.773609	1.952659	
6.153670e+001	1.774103	1.951836	
6.163670e+001	1.774596	1.952329	
6.173670e+001	1.774761	1.952494	
6.183670e+001	1.774103	1.952329	
6.193670e+001	1.775584	1.952494	
6.203670e+001	1.773774	1.952659	
6.213670e+001	1.773774	1.952329	
6.223670e+001	1.773280	1.952823	
6.233670e+001	1.772786	1.953810	
6.243670e+001	1.772293	1.952823	
6.253670e+001	1.773280	1.952494	
6.263670e+001	1.772786	1.952000	
6.273670e+001	1.773445	1.951507	
6.283670e+001	1.774103	1.951342	
6.293670e+001	1.773938	1.951507	
6.303670e+001	1.774267	1.951836	
6.313670e+001	1.775748	1.951013	
6.323670e+001	1.775255	1.952000	
6.333670e+001	1.775913	1.951342	
6.343670e+001	1.776407	1.951013	
6.353670e+001	1.776571	1.951507	
6.363670e+001	1.776407	1.951507	
6.373670e+001	1.776900	1.952329	
6.383670e+001	1.776078	1.952165	
6.393670e+001	1.775748	1.952165	
6.403670e+001	1.775419	1.951836	
6.413670e+001	1.775090	1.951342	
6.423670e+001	1.774267	1.950519	
6.433670e+001	1.774267	1.951507	
6.443670e+001	1.773609	1.950190	
6.453670e+001	1.773609	1.949861	
6.463670e+001	1.773115	1.949038	
6.473670e+001	1.773609	1.949532	
6.483670e+001	1.773445	1.950025	
6.493670e+001	1.775090	1.949696	
6.503670e+001	1.775090	1.949367	
6.513670e+001	1.775584	1.949532	
6.523670e+001	1.775913	1.949861	
6.533670e+001	1.775913	1.949696	
6.543670e+001	1.776736	1.947392	
6.553670e+001	1.774761	1.949367	
6.563670e+001	1.774596	1.949203	
6.573670e+001	1.773938	1.949038	
6.583670e+001	1.773280	1.948380	
6.593670e+001	1.772786	1.948215	
6.603670e+001	1.773609	1.948709	
6.613670e+001	1.773280	1.948051	
6.623670e+001	1.774267	1.948215	
6.633670e+001	1.774432	1.947721	
6.643670e+001	1.774926	1.946899	
6.653670e+001	1.774926	1.946405	
6.663670e+001	1.775584	1.947721	
6.673670e+001	1.775255	1.947721	
6.683670e+001	1.775419	1.948215	
6.693670e+001	1.775419	1.949203	
6.703670e+001	1.775090	1.949861	
6.713670e+001	1.774926	1.949532	
6.723670e+001	1.775090	1.949861	
6.733670e+001	1.774761	1.950190	
6.743670e+001	1.774926	1.950355	
6.753670e+001	1.774432	1.949861	
6.763670e+001	1.774432	1.950848	
6.773670e+001	1.772622	1.950025	
6.783670e+001	1.776078	1.950519	
6.793670e+001	1.776900	1.950519	
6.803670e+001	1.777723	1.951671	
6.813670e+001	1.778382	1.951671	
6.823670e+001	1.779040	1.952000	
6.833670e+001	1.779698	1.952659	
6.843670e+001	1.780850	1.952659	
6.853670e+001	1.781837	1.952165	
6.863670e+001	1.781837	1.952329	
6.873670e+001	1.781837	1.952988	
6.883670e+001	1.781673	1.953481	
6.893670e+001	1.782496	1.953975	
6.903670e+001	1.781179	1.953975	
6.913670e+001	1.781015	1.954140	
6.923670e+001	1.781015	1.953810	
6.933670e+001	1.780685	1.953646	
6.943670e+001	1.780521	1.954140	
6.953670e+001	1.782002	1.954140	
6.963670e+001	1.780521	1.954962	
6.973670e+001	1.781015	1.955785	
6.983670e+001	1.781344	1.956114	
6.993670e+001	1.781673	1.956444	
7.003670e+001	1.781508	1.956937	
7.013670e+001	1.782496	1.957102	
7.023670e+001	1.782167	1.957102	
7.033670e+001	1.782002	1.956608	
7.043670e+001	1.781179	1.956773	
7.053670e+001	1.780685	1.957266	
7.063670e+001	1.779698	1.957431	
7.073670e+001	1.779698	1.957925	
7.083670e+001	1.779369	1.958418	
7.093670e+001	1.779040	1.958418	
7.103670e+001	1.778711	1.958748	
7.113670e+001	1.778546	1.958583	
7.123670e+001	1.780521	1.958254	
7.133670e+001	1.779204	1.958089	
7.143670e+001	1.779534	1.958254	
7.153670e+001	1.779369	1.958089	
7.163670e+001	1.778875	1.957925	
7.173670e+001	1.777888	1.958089	
7.183670e+001	1.778382	1.957925	
7.193670e+001	1.777065	1.958748	
7.203670e+001	1.776571	1.958748	
7.213670e+001	1.776407	1.958748	
7.223670e+001	1.776078	1.958254	
7.233670e+001	1.775913	1.957760	
7.243670e+001	1.776407	1.957431	
7.253670e+001	1.776571	1.957102	
7.263670e+001	1.777065	1.956937	
7.273670e+001	1.777065	1.956608	
7.283670e+001	1.777559	1.957266	
7.293670e+001	1.777394	1.957266	
7.303670e+001	1.777723	1.956773	
7.313670e+001	1.777065	1.955621	
7.323670e+001	1.777065	1.956114	
7.333670e+001	1.776407	1.955785	
7.343670e+001	1.775913	1.956114	
7.353670e+001	1.775419	1.956444	
7.363670e+001	1.774926	1.956279	
7.373670e+001	1.773774	1.955950	
7.383670e+001	1.773609	1.955950	
7.393670e+001	1.772786	1.954469	
7.403670e+001	1.772128	1.956279	
7.413670e+001	1.772951	1.956279	
7.423670e+001	1.771141	1.955621	
7.433670e+001	1.771305	1.955292	
7.443670e+001	1.771963	1.955127	
7.453670e+001	1.772128	1.954798	
7.463670e+001	1.772293	1.954633	
7.473670e+001	1.773609	1.954140	
7.483670e+001	1.772786	1.954633	
7.493670e+001	1.773774	1.954469	
7.503670e+001	1.774267	1.953975	
7.513670e+001	1.774267	1.954140	
7.523670e+001	1.774596	1.953810	
7.533670e+001	1.775748	1.953317	
7.543670e+001	1.774761	1.953646	
7.553670e+001	1.774432	1.953646	
7.563670e+001	1.773938	1.953317	
7.573670e+001	1.773445	1.953481	
7.583670e+001	1.772622	1.953152	
7.593670e+001	1.772786	1.952494	
7.603670e+001	1.770976	1.952988	
7.613670e+001	1.771305	1.953646	
7.623670e+001	1.771305	1.954140	
7.633670e+001	1.771141	1.954140	
7.643670e+001	1.771470	1.954304	
7.653670e+001	1.772951	1.953810	
7.663670e+001	1.773280	1.954469	
7.673670e+001	1.773938	1.954798	
7.683670e+001	1.774432	1.954140	
7.693670e+001	1.774596	1.953975	
7.703670e+001	1.774926	1.953481	
7.713670e+001	1.776242	1.954304	
7.723670e+001	1.776078	1.954304	
7.733670e+001	1.776571	1.954469	
7.743670e+001	1.776900	1.954633	
7.753670e+001	1.776736	1.954469	
7.763670e+001	1.776571	1.954140	
7.773670e+001	1.776736	1.954140	
7.783670e+001	1.776407	1.953975	
7.793670e+001	1.775748	1.953810	
